  COMPANY NAME, MOBILE,MAIL,WEBSITE,ADRESS,,
Innov Tech,1878776002,innovtechbpo@gmail.com,www. Innovtechbpo.com,"20, Sultana Razia Road, Auchpara, Nishatnagar, Tongi, Gazipur, Bangladesh",,
Innovation Hub,1884690678,ihub@gmail.com,www.IHUB.com,"4 No. Tollabag, 3rd floor, Mohammadiya super Market, Dhaka",,
Innovative Professionals,1712405152,rezwangaffar@gmail.com,http://innvprofs.com,"353/1,East Rampura DIT Road, Dhaka-1219",,
Inspired IT,1738240668,inspireditbd@gmail.com,https://inspireditbd.com/,"Kashem Plaza / Twin Restaurant (2nd Floor), Chartola Mor, College Road, Rangpur.",,
Intellexis Ltd,8.80961E+12,info@intellexis.com.bd,www.intellexis.com.bd,"House: 6, Level 8, Road: 16/A, Gulshan 1, Dhaka 1212, Bangladesh",,
Intellier Limited,1727244400,help@intellier.com,www.intellier.com,"29, Kawran Bazar(Level 5), Dhaka- 1215",,
Inument Solutions Limited,8.8013E+12,hello@inument.com,http://www.inument.com/,"House# 527 (3rd floor), Road# 10 (East), Baridhara DOHS, Dhaka 1206, Bangladesh",,
Invention IT Ltd,8.80192E+12,jamshedllb@gmail.com,http://www.inventionitltb.com,"3 Kader Arcade (5th Floor), Mirpur Road,ScienceLaboratory",,
INVICTA SOLUTIONS LTD.,8.8013E+12,accounts@invictasl.com,https://invictasl.com/,"Moar, 27 Shaptak Square, Level-7, Holding 02, Road 16 (Old: 27), Dhanmmondi, Dhaka",,
Jack IT Solution,1617811071,jack@jackcreativestudio.com,www.jackcreativestudio.com,"House 35, Road 7, Sector 3, Uttara, Dhaka-1230",,
Janata Wifi Ltd.,8.80173E+12,mainul@janatawifi.com,http://janatawifi.com/,"Registered: House-17-A, Road-126, Gulshan-01, Dhaka-1212 Corporate Office: 97/A, Road 25, Banani Block A",,
JOY COMPUTER LTD.,8.80173E+12,joycomputersbd@gmail.com,joycomputerbd.com,"House 1101, Road 6/b, Avenue 7, Mirpur DOHS, Dhaka-1216",,
Kaizen IT Ltd.,1934453979,info@kaizenitbd.com,N/A,"151/6 (2nd Floor) , Gazi Tower, Panthapath Signal, Dhaka-1205",,
Kazi Business Solutions,1738116740,kazibusinesssolutions@hotmail.com, ,"Jugajug Complex, 2nd Floor, East Shibgonj, Sylhet 3100",,
Kichai IT Services Ltd.,1711563490,hbipe@ymail.com,www.kichai.com,"House No.395 (4th Floor North), Road No. 29. Mohkhali New DOHS, Dhaka-1206",,
Kinnor Trade Limited,1873834578,kinnortradeltd@gmail.com,www.kinnor.com.bd,"House -09, Shawrapara, Kafrul, Dhaka- 1216",,
KS Network Limited,1733347590,info@ksnetworkbd.com,www.ksnetworkbd.com,"Address 11/7/G, Principal Park, Free School Street, Kathalbagan, Dhaka - 1205",,
LCBS Dhaka,9678505050,info@lcbsdhaka.com,www.lcbsdhaka.com,"House No. 120, Road no. 9/A, Sankar Bus Stand, Dhanmondi, Dhaka-1209",,
Legato Services Ltd.,1777789984,hafiz@lusakagroupbd.com,http://www.legatobd.com,"House #10,Road#12,Sector #10,Uttara, Dhaka -1230",,
LEVERnGEAR LIMITED.,9611699824,rakib.rana2223@leverngear.com,www.leverngear.com,"531/4 (3rd Floor), Lane-11, Baridhara DOHS, Dhaka-1206.",,
Light Speed Source,1749400027,arnovi97@hotmail.com,www.lspeedsource.com,"5th Floor, 34 Green Road, Dhanmondi, Dhaka",,
Link Vision Software Solution Ltd,1847347832,info@linkvisionsoft.com,www.linkvisionsoft.com,"44/3 Polash Nagar Mirpur 11, Dhaka.",,
London cars,,maslondoncars3@gmail.com,www.londoncarsonline.co.uk,"Resourceful Paltan city (6th Floor) , 51/A Purana Paltan, Dhaka-1000",,
LUCID BUSINESS SOLUTIONS,1732485840,info@lucidbizsolutions.com,www.lucidbizsolutions.com,"24/12-A, Khilji Road, Shyamoli, Mohammadpur, Dhaka- 1207",,
M/S Mitali International,1781797026,mahidevtc@gmail.com,www.mitaliint.com,"House- 37, Road- 13, Sector- 10, Uttara, Dhaka-1230",,
M/s. Fire & Safety Management,+880 1971307858,fsm.info20@gmail.com,www.fsmbd.com,"House-4, Lane-16, BIock- C, Section-10, Mirpur, Dhaka-1216, Bangladesh",,
Mainland Real Estate Ltd.,,mainland.realstate@gmail.com, ,"D13, House#50/A, Road#10 Sector#10 Uttara Dhaka 1230",,
Major Telecommunication,1755032772,majortelecommnication@gmail.com, ,"83, 4th floor, Dr. Khudrat -E- khuda Road Dhaka Bangladesh",,
MAPLE IT SOLUTIONS,02-41040071,ahmed@mustexbd.com,https://www.mapleitsolutions.net/,"House: 16, Road: 04, Nikunja: 01, Dhaka-1229",,
MARS Solutions Limited,"448 100 17, 448 100 18",info@mars.com.bd,www.mars.com.bd,"Vision 2021 Tower, Software Technology Park (STP), Level-08, 49 Karwan Bazar, Dhaka-1215.",,
Mavens Solutions,1776056436,mahshid@themavens.xyz,https://themavens.xyz/,"House#20, Road#02, Dhanmondi - 1209",,
MCL Hotline Bangladesh Limited,"9135954, 9130882-3",info@mclhotlinebd.com,www.mclhotlinebd.com,"MCL POINT', 20/C, Monipuripara, Sangsad Avenue Sher-e-Bangla Nagar, Dhaka-1215",,
MD INFOTECH,8.80191E+12,info@mdinfotechbd.com,http://mdinfotechbd.com,"Corporate Office : Bangabandhu Sheikh Mujib Hi-Tech Park, Rajshahi. Root Office : House #94/1, Nowdapara, Sopura, Ward-17, Shah Mukdum, Rajshahi.",,
Memento Professional Services Ltd,8.80179E+12,tausif@mementoprofessionalservices.com,mementoprofessionalservices.com,"Plot-6, Navana D.H. Tower (17th floor), Panthapath, Dhaka, Bangladesh",,
MetroNet Bangladesh Limited,8.80961E+12,almas@metro.net.bd,www.metro.net.bd,"PBL tower , 13th floor, gulshan North C/A, Dhaka-1212",,
MF Asia Ltd.,1706643280,info-bd@metafour.com,www.metafour.com,"Palm Jumeirah, 21 Sonargaon Janapath, Sector-07, Uttara, Dhaka-1230",,
MIGRANTS SOULS LIMITED,9642622622,riaz.khan.bd@gmail.com,www.migrantssouls.com,"House No- B-183 (FIRST FLOOR), Road- 21, New DOHS Mohakhali, Dhaka",,
Mitisol Limited,1737678699,baizid@mitisol.net,www.mitisol.net,Plot 8 Sonargaon Jonopath Sector-11 Uttara Dhaka 1230,,
Monstarlab Enterprise Solutions Limited,1751901665,es@monstar-lab.com,https://monstar-lab.com/,"Plot-4, Mohakhali C/A (5th floor), Dhaka-1212",,
MonsterClaw Limited,9642601577,info@monsterclaw.com,www.monsterclaw.com,"Amigo 14 Square, Flat#10B,59/C & 61/C, Asad Avenue, Mohammadpur Dhaka-1207.",,
MULTI ENGINEERING & CO. LTD.,02-9668000,zaman0013@hotmail.com,www.multiengineeringbd.com,"326/2,Elephant Road, New Market, Dhaka, Bangladesh.",,
MUNSHI HR SOLUTIONS LIMITED,9611686744,mhrs@munshicorp.com,www.munshihr.com,"413, Nayanagar, Coca Cola Road, Gulshan, vatara , Dhaka",,
My Outsourcing Limited,"9861138, 9862815",info@myolbd.com,www.myolbd.com,"Operation Addrss: House# 37, (Abanti) Flat# A4, Road# 27, Block-A, Banani, Dhaka-1213 Corporate: House# 31, Flat# B3, Road# 20, Block# K, Banani, Dhaka-1213.",,
MySoft Limited,88025501327,info@mysoftltd.com,www.mysoftltd.com,"Level-7, BDBL Bhaban, 12 Kawran Bazar, Dhaka",,
Nanosoft System,8.80171E+12,rokon24@gmail.com,www.nanosoftsystem.com,"95, Motijheel, C/A 6th Ln, Dhaka 1000",,
Nebulas IT Limited,29032597,info@nebulas-it.com,nebulas-it.com,"184 Senpara Parbata, Razia Plaza, 4th floor, Mirpur-10, Dhaka-1216",,
Net Bangla Limited,1970711632,info@netbanglaltd.com,www.netbanglaltd.com,"Level # 04, House # 19, Block # G, Main Road, Banasree, Rampura Dhaka -1219",,
NewWave Management Limited (DoDial),1713750153,info@btibd.org,www.dodial-bd.com,"BTI Celebration Point, Level-8, Plot: 3 & 5, Road: 113/A, Gulshan, Dhaka-1212.",,
NEX CALL CENTER,"01713-032838, 01911333886",shimu.65@gmail.com, ,"14 Kamal Ataturk Avenue, Banani C/A, Dhaka",,
Nexalinx,8.80179E+12,info@nexalinx.com,www.nexalinx.com,"Operational Address: Casabella House No -17, Road No- 128, Gulshan-1, Dhaka-1212 Permanent Address: Kha-116/1,(5th floor) South Badda, Badda, Dhaka 1212",,
Next Net Limited,,support@nextnetbd.com,www.nextnetbd.com,"House-71, Road-07, Sector-04, Uttara, Dhaka-1230",,
Next Online Limited,02 58815468,hhaq@nextonline.com.bd,www.nextonline.com.bd,"Plot 325, Lane 22, New DOHS, Mohakhali Dhaka, Bangladesh",,
Neyamot Enterprise,8.80968E+12,support@neyamotenterprise.com,www.neyamotenterprise.com,"Ka-124, Darjibarir Moor, Uttarpara, Khilkhet, Dhaka-1229.",,
Nice Power & IT Solutions Ltd,8.80255E+11,mdadmin@nicegroupbd.com,www.nicegroupbd.com,"Suite- 3A, #rd Floor,20/21 Garden Road, West kawran Bazar, Dhaka-1215",,
Nijol Creative,8.80171E+12,nijolcreative@gmail.com,www.nijolcreative.com,"Flat: 1B, House: 58, Road: 3, Block: B Niketon, Gulshan-1",,
NISAI BANGLADESH LIMITED,1319791339,hi-bangladesh@nisai.com,https://bd.nisaiglobalschool.com,"Blue Moon Tower, 167/24, Matikata, Joarsahara ( Zia Colony- Mirpur New Road) Thana- Dhaka Cantonment, Dhaka- 1206, 12th Floor, Unit -A",,
Noble IT Solution Ltd.,02 9821741,info@nobleitbd.com,www.nobleitbd.com,"M.R Center (5th Floor), House# 49, Road# 17, Block-E, Banani, Dhaka-1213",,
Notionhive Bangladesh Limited,1712922233,hello@notionhive.comm,https://notionhive.com,"Unit 3B, house 42A, road 7, Sector 3, Uttara , Dhaka",,
NR Business Solution LTD,1850975966,operations.nrbusiness@gmail.com,www.nrbusinessltd.com,"757/1, 1st floor Begum Rokeya Soroni, West Shwerapara, Mirpur, Dhaka-1216",,
NVISIO SOLUTIONS LIMITED,+88 01788431645,info@nvisio.net,www.nvisio.net,"26, Lift-4, Road-07, Block -C, Niketon Gulshan-1, Dhaka",,
O & A IT and International Call Center Ltd.,8.80313E+11,info@oaitcallcenter.com,www.oaitcallcenter.com,"105/214, Shulok Bohor, Abdullah Khan Lane, Panchlish, Chittagong",,
OASIS Net Link Ltd,8.80964E+12,info@oasisnetlink.com, ,"R.S.H TOWER,Plot-23(7th floor), Road-03, Block-A, Section-11, Mirpur, PS-Pallabi,Dhaka, Bangladesh",,
OBHAI SOLUTIONS LIMITED,8.80171E+12,sk.ahmed@obhai.com,htttp://www.obhai.com/,"67-68, Level -7, Kamal Atartuk Avenue, Banani C/A, Dhaka- 1213",,
ODIN Outsourcing,1757477717,info@odinbd.com,www.odinbd.net,"House-110/A (2nd floor), Road-2, Block-A, Niketon, Gulshan-1",,
Offshore Staffing Solutions,8.80161E+12,jamil@offshorestaffingsolutions.com,www.offshorestaffingsolutions.com,"Ativo Prestige, House- 1, Road - 1, Section - 11, Mirpur, Dhaka - 1216",,
Omnitech Solutions Ltd.,8.80191E+12,info@omnitechtion.com,www.omnitechtion.com,"SK Centre, Gp-Ja/4, Mohakhali",,
OmniTech Soutions Ltd.,1912951074,coo@omnitechtion.com, ,"SK Center , Gp-Ja/4, Mohakhali, Dhaka-1212",,
OnTech BPO Limited,1950074687,ontechbpo@gmail.com,http://onetechsolutions.co/,"House ?혀 08, 5th Floor , Sumon Plaza, Mirpur ?혀 10, Dhaka-1216",,
Orange Business Development Ltd.,02-8414548-49,info@orangebd.com,www.orangebd.com,"Lane-01, House-171 (3rd and 4th Floor), Baridhara DOHS, Dhaka-1206",,
Orbund Bangladesh,19136364497,arif@orbund.com,https://Orbund.com,"Orbund House, 202/C Road 6, Mohammadi Housing Limited Mohammadpur, Dhaka",,
Org-Quest Research Limited,(+880-2) 41061073-74,orquestbd@gmail.com,www.orgquest.com,"Fare Diya Complex, Level 9 CD, 11/8/E Free School Street, Kathalbagan, Kalabagan, Dhaka-1205",,
Pathao Limited,8.80168E+12,ishtiaque.ismail@pathao.com,https://pathao.com/bn/,"House No. CWN-A/3A, Level-7, Road-49, Gulshan-2",,
PEARS GLOBAL LIMITED,1711526355,info@pearsbd.com,www.pearsbd.com,"57&57, Gulshan Avenue, 8th Floor, Gulshan, Dhaka 1212",,
Pendulum Motion,+8801781 200300,info@pendulummotion.com,www.pendulummotion.com,"House-560 (3A), Road-8, Baitul Aman Housing Society, Adabor, Dhaka1207",,
Pima Associates Ltd.,1718371981,pimaltd1968@gmail.com,N/A,"Gulfesha Plaza, Floor-13, Room-N13, Mogbazar, Dhaka",,
Plexus Cloud Ltd,1958444850,office@plexus.com.bd, ,"House-34, Road: 01, Block A, Rampura, Dhaka",,
Plus Online Marketing Limited,8.8018E+12,sourav@plusonlinemarketing.com,www.plusonlinemarketing.com,"House: 112, Road: 6, Mohakhali DOHS, Dhaka",,
PowerMan Local,8.80185E+12,bijoy9357@gmail.com,http://powermanlocals.com/,"Kha-09, Malek Mansion, Bepari para, Khilkhet, dhaka-1229.",,
Prediction Learning Associates ltd.,1713334862,info@predictionla.com,www.predictionla.com,"House #365/9, Level #04, Lane #06, Baridhara DOHS, Dhaka-1206",,
PREM IT,1818965653,contact@prem-it.com,prem-it.com,"Plot A-30, BCSIC silpo nagari, Gaibandha",,
Pridesys IT Ltd.,02 44810030-1,info@pridesys.com,www.pridesys.com,"Corporate Office: Level 6, 20/21 Garden Road, Kawran Bazar, DHAKA ?혀 1215. R&D Center: Level-11, Vision 2021 Tower-1, Software Technology Park, 49 Kawran Bazar C/A, Dhaka-1215, Bangladesh.",,
PrimeIT,1819870058,mahbub1767@yahoo.com, ,"Prime IT, House # 8, Road # 13, Dhanmondi",,
Primesync Solutions Limited,1713229902,bd@primesyncsolutions.com,www.primesyncsolutions.com,"House No- 172, Road- 06, Block- C, Bashundhara R/A, Dhaka- 1229",,
Primo Tech Limited,1984300120,it@primotechltd.com,www.primotechltd.com,"House-31, Road: 02, Block: A, Banasree, Rampura, Dhaka- 1219",,
Pro Data Limited,1535820840,info@prodata.com.bd,http://prodata.com.bd/,"15th Floor, House# 87, Rashed Khan Menon Road, Eskaton, Dhaka-1217 Bangladesh.",,
Qligence Limited,9613242828,info@qligence.com,www.qligence.com,"Safura Green, 761 Satmasjid Road, Dhaka 1205",,
Quantanite Bangladesh Limited,8.80131E+12,shameemkhan@quantanite.com,https://quantanite.com/,"Plot# A/5, (9th Floor), Block# A, Section# 14, Mirpur, Dhaka-1206, Bangladesh",,
Radiant Data Systems Ltd,0255012160-1,info@radiantds.com,www.radiantds.com,"11th Floor, BDBL Building, 12 Kawran Bazar, Dhaka 1215",,
Radisson Digital Technologies Ltd.,02-8189301,info@radissonbd.com,www.radissonbd.com,"Shah Ali Tower (6th Floor), 33 kawran Bazar, Dhaka-1215",,
Rahman's Chambers,02 8815415,info@rahmansc.com,www.rahmansc.com,"RANGS SHAWPNIL, 2ND FLOOR (A), HOUSE-2, ROAD-2/3, BANANI, DHAKA",,
RAKA SERVICES (PVT.) LTD,N/A,rakaservicespvtltd@gmail.com,N/A,"599,Alo Vilaa (1st Floor), West Nakhal Para, Tejgaon, Dhaka-1215",,
RAM IT,1766358772,info@ramit.com.it,www.ramit.com.bd,"Star Mension, Shaheb Bazar, Rajshahi-6100",,
RD Services Limited,1844237178,najmul@pulseservicesbd.com,www.mypulse.com.bd,"Saba House, Plot-34,, Road-46,Gulshan 02, Dhaka",,
Recom Consulting Limited,1711505146,atiq@recombd.com,www.recombd.com,"House#18 (Flat B), Road # 1/A, Block-J, Baridhara, Dhaka-1212",,
Remedi Health Ltd.,1730745357,info@remedi.health, ,"15, Shahid Tajuddin Ahmed Scoronie, Moghbazar, Dhaka",,
Remote Office,1873065453,nahian@remoteoffice.io,www.remoteoffice.io,"House 1,2, Flat-701, Ariza Tower, Road-02, Monsurabad R/A, Mohammadpur, Adabor, Dhaka-1207",,
Response Limited,8.80222E+12,info@responsebd.com,www.responsebd.com,"House# 289 (Level 4) Road-19/B, New DOHS, Mohakhali, Dhaka-1206, Bangladesh.",,
REVE Systems Ltd.,1814655961,ajmat.iqbal@revesoft.com,revesoft.com,"REVE Centre Plot # 94, Purbachal Express Highway, Dumni, Khilkhet",,
REXTENT,8.80171E+12,masud@rextent.com,www.rextent.com,"Level 10, Sheikh Hasina Software Technology Park",,
RISDA INSTITUTE OF TECHNOLOGY LTD.,1782655898,risdaitltd@gmail.com,risdait.com,"House-18, Road-01, Block-B, Section-06, Mirpur, Dhaka-1216",,
Rise Up Labs,-2013,contact@riseuplabs.com,https://www.riseuplabs.com,"Riseup Labs, Floor-14, Tropical Alauddin Tower, Plot No-32/C, Road-2, Sector-3, Uttara, Dhaka-1230, Bangladesh.",,
RPSI Services Limited,01716094232 01608967110,"info@tech-teem.com, od@tech-teem.com", ,"Level-7, House-01, Road-20/A, Sector-03, Uttara, Dhaka-1230.",,
Saic Institute of Management & Technology,01715-016193,simt.dhaka@gmail.com,www.simt.edu.bd,"Saic Tower-M/3, Mirpur-14, Dhaka-1216",,
Saj Telecom,8913910,info@sajtel.com,www.sajtel.com,"HOUSE- 565, ROAD- 9, BLOCK G, BASHUNDHARA, DHAKA",,
Sales Manager Pvt. Limited,1986000600,info@salesmanager.com.bd,www.salesmanager.com.bd,"152/3B Panthapath. Dhaka - 1205, Bangladesh",,
Samaira Skill Development Institute (SSDI),-11870,info@ssdibd.com,www.ssdibd.com,"28/B, 29/A,B, Navana Obaied Eternia, VIP Road, Kakrail, Dhaka-1000",,
SANAZ Corporation,1911310168,info@sanazcorp.com,www.sanazcorp.com,"House-65, Road-12/A, Dhanmondi R/A, Dhaka-1209",,
Savvy Techmart Limited,1712579697,ronyroy1980@gmail.com,www.savvytechmart.com,"Flat- 3A & B, (2nd Floor) 65 Rasul View, Mymensingh Lane, Banglamotor, Dhaka- 1205.",,
SBT Japan Limited,,info@sbtjapan.com, ,"Ahmed Tower (5th Floor), 28/30 Kamal Ataturk Avenue, Dhaka-1230",,
Scoppa Technology Ltd,255012477,info.scoppa@gmail.com,www.scoppatec.com,"Janta Tower Software Technonogy park, Level 11, Kawranbazar, Dhaka, Bangladesh",,
Service Solutions Pvt. Ltd. (SSL),4.476E+20,info@sslbd.net,www.sslbd.net,"BNS Center, Plot# 87 Dhaka Mymensingh Road (6th Floor), Sector #7, Uttara, Dhaka-1230",,
ServicEngine Ltd.,9636221234,akram@sebpo.com,www.sebpo.com,"House 8, Abbas Garden, Mohakhali DOHS, Dhaka 1206",,
SERVIFY TECH LIMITED,8.80196E+12,servifytsbd@gmail.com,https://www.servifybd.com/,"Home Town Tower, Level - 16, 87 New Eskaton Road, Dhaka 1000",,
SERVIFY TECH SOLUTIONS BD,8.80196E+12,servifytechbd@gmail.com,http://www.servifybd.com/,"Home Town Tower, Level - 16, 87 New Eskaton Road, Dhaka 1000",,
ServiQore,8.80171E+12,info@serviqore.com,http://www.serviqore.com/,"Flat B7, H 19, R 8, Shekhertek, Mohammadpur, Dhaka - 1207",,
Shahid S A Memorial Polytechnic Institute,28981266,ssampi50518@gmail.com,www.sampi.edu.bd,"House 20, Road 13, Sector10, Dhaka 1230",,
SI 2 Limited,88029146388,info@si2solutions.com,www.si2solutions.com,"24/1 & 24/2 (1st Floor), Shyamoli Hall Building, Bir Uttam A. N. M Nuruzzaman Sarak, Mohammadpur, Dhaka 1207",,
SIMEC Systems Ltd.,0880-(2)-48962921,info@simecsystem.com,https://simecsystem.com,"55 Shah Mokdhum Avenue, Shonim Tower(5th Floor), Sector-12, Uttara, Dhaks-1230",,
Simple Solution,8.80171E+12,simplesolutionltd@hotmail.com, ,"48, Golden Tower (2nd Floor), Ambarkhana, Sylhet",,
SK IT Centre,1811111419,nspreservationsolutions@gmail.com,www.skitcentre.com,"House# 06, Road# 12, Sector#10, Uttara, Dhaka-1230",,
Skillers Zone,8.80179E+12,support@skillerszone.com,https://www.skillerszone.com/,"6/A, Nigar Plaza (Near Rajlaxmi Complex),Level: 06, House: 32-B, Road: 02, Sector: 03, Uttara, Dhaka-1230",,
Skylark Soft Limited,9678375375,bms@skylarksoft.com,www.skylarksoft.com,"House # 10, Avenue # 04 (Near Joshna Shorobor) , Mirpur DOHS, Dhaka-1216",,
SkyTech Solutions,8.80255E+11,office@skytechbpo.com,www.skytechbpo.com,"House 01, Road 10/A, Sector 9, Uttara, Dhaka 1230",,
Smart Technologies (BD) Ltd.,8622733-5,zahir@smartbd.net,www.smart-bd.net,"House# 14 (1st Floor), Road# 4, Dhanmondi, Dhaka",,
SN Technical Training Institute,N/A,dtenahar@gmail.com,N/A,"East Shampur , Sadarpur, Faridpur",,
SOFTCALL,1711409705,narayan@soft-call.com, ,"House-329, Road-22, Mohakhali DOHS, Dhaka-1206",,
Software Shop Limited (SSL Wireless),"+880 9612221000, +880 2 4831 6009",info@sslwireless.com,www.sslwireless.com,"93 B New Eskaton Road, Dhaka 1000",,
Solution9 Limited,1911119966,admin@solution9.com,solution9.com,"07 (4th Floor), Garib-E-Newaz Avenue, Sector-11, Uttara, Dhaka",,
SolutionBPO Ltd.,8.80171E+12,sahil80@gmail.com,http://www.solutionbpo.ltd/,"Vision 2021 Tower (Janata Tower), Software Technology Park, 49, Karwan Bazar, 1215",,
Solvicor Ltd.,1674396078,info@solvicorbd.com,www.solvicorbd.com,"House-90/3, Flat-3, Block -J, Middle Badda, Dhaka-1212",,
Sonali Information Technology Ltd,"01979998701, 01979998702",sitlbd5@gmail.com,www.sitlbd.com,"B-41, Block-E, Zakir Hossain Road, Mohammadpur, Dhaka-1207",,
Spearhead,88029887632,arif77bd@gmail.com, ,"3rd Floor, Bay Tower, 50 Mohakhali, Dhaka",,
SR Institute of Software Technology,1919414153,skhossainrazib@gmail.com, ,"4 no, Tollarbag, Mohammadia Super Market(2nd Floor),Dhanmondi-28",,
SST Tech Limited,248956868,info@ssttechbd.com,https://www.ssttechbd.com,"Corporate Office- 34, Sonargoan Janapath, Level-9, sector-11,Uttara, Dhaka-1230.",,
ST RELIANCE ASSOCIATES STRA,1717859464,saidul.stra@gmail.com,www.stra-global.com,"Suite: 701 (A1), 6th Floor, Century Center, Kha-225, Bir Uttam Rafiqul Islam Avenue (Old: Progati Sarani, Merrul Badda, Gulshan-1212, Dhaka",,
Star Computer Systems Limited,8828629206,info@stargroup-bd.com,www.stargroup-bd.com,"70, Bir Uttam Kh Shofiullah Sarak, Flat-8/A, Kalabagan",,
Star IT Ltd.,1797587245,md@staritltd.com,https://staritltd.com/,"BBTOA Building(4th floor), 9 South Kallyanpur, Mirpur road, Dhaka-1207.",,
Star Tech & Engineering Ltd,9678002003,admin@startechbd.com,www.startech.com.bd,"218/1, West Kafrul, Begum Rokeya Sarani, Dhaka",,
STS IT training Institute & Infosys,1712711002,stsitorg@gmail.com,www.stsit.org,"1/2, Musleh Uddin Bhuiyan Road, narshingdi Sadar, Narsigndi-1602",,
Studio Metrodesk,8.80175E+12,afsana@studiometrodesk.com,https://studiometrodesk.com/,"HEAD OFFICE: Suite #4A-B, 89/2 West Panthapath Tejgaon, Dhaka, Bangladesh. 1215",,
Suffix IT Limited,1755569701,info@suffixit.com,www.suffixit.com,"Cha-70, 70/A, Rupayan Millennium square , Progoti Sharoni,North Badda, Gulshan, Dhaka-1212",,
Super Tel,1678005505,info@supertel.com.bd,www.supertel.com.bd,"Super House# 25, sector# 13, Garib-e-Newaz Avenue, Uttara, Dhaka- 1230.",,
Synergy Business Solution,1759228822,mahfujrifat15@gmail.com, ,"Niketon, Gulshan, Road no 01, A1, Dhaka, 1212",,
SYNERGY SOLUTIONS,88029033044,operations.sscc@gmail.com,www.synergybpo.biz,"Commercial Plot# 28 (2nd & 3rd Floor), Main Road- 1, Senpara Parbata, Mirpur- 10, Dhaka, Dhaka, 1216",,
SYNESIS IT LTD.,+88 02 9115222,info@synesisitltd.com,www.synesisitltd.com,"ICT Incubator, Level-3, BDBL Bhaban, 12 Kawarn Bazar, Dhaka-1215",,
T3 Communication Limited,9612440787,knock@theturtlesturn.com,www.theturtlesturn.com,"House 180, Road 04, Mohammadia Housing Limited, Mohammadpur, Dhaka",,
Tactsoft Limited,8.80177E+12,info@tactsoftltd.com,http://www.tactsoftlearning.com,"3rd Floor, 2/2, Block:A, Lalmatia, Dhaka",,
Tangail Digital IT Firm,1777894663,tdif2020@gmail.com,https://tditfirm.com/,"Sayed Tawor, Collage Para, Road, Tangail Sadar, Tangail.",,
Taskeater Bangladesh Limited,+880 1310 589636,shameem.khan@quantanite.com,https://quantanite.com/,"Plot: A/5, Section-14, Mirpur, Dhaka-1206",,
TASKWISE (BD) INC.,1729208825,info@taskwisebd.com,http://taskwisebd.com/,"Plot No.08, Road No. 14, Sector-4, Uttara, dhaka-1230",,
Tech Point BPO,+88 01400 100010,support@techpointbpo.com,www.techpointbpo.com,Probal Tower (Level-5),,
Tech Valley Networks Limited,+880 961 099 7929,info@tvnlbd.com,www.tvnlbd.com,"Paragon House (9th Floor), 5, Mohakhali C/A, Dhaka-1212.",,
TechKnowGram Limited,1713453337,info@techknowgram.com,www.techknowgram.com,"5/9, Block B, Suite B 1, Lalmatia, Dhaka 1207, Bangladesh.",,
Techmart BPO Solutions,8.80169E+12,abkafybd@gmail.com,www.techmartbpo.com,"57/12 Shonargaon Plaza, East Rajabazar, West Panthapath (Exactly on Panthapath Signale), Level-4, Dhaka, Dhaka, 1215",,
TECHNOMMH,1973883211,info.technommh@gmail.com,www.technommh.com,"House: 236/5A, South Pirerbag, Mirpur, Dhaka-1216",,
Technsystem Solution BD Ltd,1671112027,info@technsystems.com,www.technsystems.com,"Rahman Mansion (Lift 5), 136/Ga pragati Saroni, Near Badda Hosen Market Prescription Point Building North, Dhaka 1212 Branch Office :- House 69/M, 1st floor Green Road, Panthapath, Dhaka 1220",,
TechSoldier BPO,'01300954242,techsoldierbpo2021@gmail.com,www.techsoldierbpobd.com,"168/1, Senpara Parvata, Begum Rokeya Sarani, Dhaka-1216",,
Tele Musketeers,1707082423,operations@telemusketeers.com,www.telemusketeers.com,"476/C, Zahir Mansion, Malibag DIT Road, Dhaka, 1219",,
Teleconsult Group,1683786330,info@tcg.com.bd,www.tcg.com.bd,"House# 1, Road# 15 (New), 28 (Old), Dhanmondi, Dhaka-1209",,
Telehawks Solutions,8.80192E+12,telehawks.solutions@gmail.com,www.telehawks.com,"202/C Hazi Solim Uddin Lane, Badda, Dhaka-1212",,
Teleserv,880 1791 680 236,hello@teleservbpo.com,http://www.teleservbpo.com/,"Suite-B4, Plot-15, Main Road-03, Block-A, Mirpur-11, Dhaka-1216, Bangladesh",,
Test Company,8.80131E+12,test@mail.com, ,Address of Test Company 33,,
Thane Systems,+8802 8838001-4,info@btraccl.com,www.btraccl.com,"Plot# 68 (3rd Floor), Road# 11, Block# H, Bir Uttam Khademul Bashar Road, Banani, Dhaka-1213",,
The Address of Accountants (AOA),88-02-55130556-57,mmc@bol-online.com, ,"Rupayan Karim Tower, Level-09, Suit-B, 80, VIP Road, Kakrail, Dhaka-1000",,
The Everest IT,1776057078,theeverestit@gmail.com,https://theeverestitbd.com/,"888/1, hazi ashraf ali market, East shewrapara, kafrul, dhaka",,
THE KOW COMPANY LIMITED,1755601370,ak@thekowcompany.com,www.thekowcompany.com,"Navana DH Tower (2nd Floor) Plot-6 Panthapath Tejgaon, Dhaka 1215",,
THE SOFTKING LIMITED,1716441700,rifat@thesoftking.com,www.thesoftking.com,"House: 60, Road: 20, Sector: 11, Uttara, Dhaka 1230",,
